,Artist,Title,Year,Highest position,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,duration_ms,primary_genre,genres,artist_image,artist_image_meta,album_image,album_image_meta
0,Queen,Bohemian Rhapsody,1975,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,audio_features,4u7EnebtmKWzUH433cf5Qv,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,354320,rock,"['glam rock', 'rock']",https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,"{'height': 806, 'url': 'https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982', 'width': 999}",https://i.scdn.co/image/beae4292c3214147a7201ef48f855b4ed40ff84e,"{'height': 640, 'url': 'https://i.scdn.co/image/beae4292c3214147a7201ef48f855b4ed40ff84e', 'width': 640}"
1,Eagles,Hotel California,1977,1,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2,0.579,0.508,2,-9.484,1,0.027000000000000003,0.00574,0.0004940000000000001,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,391376,rock,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",https://i.scdn.co/image/6b215464b769958ef1d7d9f163e3f49ebacf8842,"{'height': 640, 'url': 'https://i.scdn.co/image/6b215464b769958ef1d7d9f163e3f49ebacf8842', 'width': 640}",https://i.scdn.co/image/a5d370a3ea82efa63784521a1d7352db0a7a4d3a,"{'height': 640, 'url': 'https://i.scdn.co/image/a5d370a3ea82efa63784521a1d7352db0a7a4d3a', 'width': 640}"
2,Billy Joel,Piano Man,1974,3,121,83,57,58,60,66,49,54,34,50,45,45,29,36,18,7,6,4,4,3,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167,audio_features,3FCto7hnn1shUyZL42YgfO,spotify:track:3FCto7hnn1shUyZL42YgfO,https://api.spotify.com/v1/tracks/3FCto7hnn1shUyZL42YgfO,336093,rock,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",https://i.scdn.co/image/0488b8c02bc9249ddf858e359dee66f206b1eb4f,"{'height': 640, 'url': 'https://i.scdn.co/image/0488b8c02bc9249ddf858e359dee66f206b1eb4f', 'width': 640}",https://i.scdn.co/image/0de042e1d60c20e9b64bbf091c8dfc979e561104,"{'height': 640, 'url': 'https://i.scdn.co/image/0de042e1d60c20e9b64bbf091c8dfc979e561104', 'width': 640}"
3,Led Zeppelin,Stairway To Heaven,1971,3,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.43299999999998,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,482830,rock,"['album rock', 'classic rock', 'hard rock', 'rock']",https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e,"{'height': 600, 'url': 'https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e', 'width': 600}",https://i.scdn.co/image/557a6058e3de72bf37ffcd2c12dd5932276df344,"{'height': 640, 'url': 'https://i.scdn.co/image/557a6058e3de72bf37ffcd2c12dd5932276df344', 'width': 640}"
4,Pink Floyd,Wish You Were Here,1975,5,0,45,25,29,20,21,16,8,14,12,9,6,7,6,6,6,9,9,7,5,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.8320000000000001,0.375,122.883,audio_features,7aE5WXu5sFeNRh3Z05wwu4,spotify:track:7aE5WXu5sFeNRh3Z05wwu4,https://api.spotify.com/v1/tracks/7aE5WXu5sFeNRh3Z05wwu4,334744,rock,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa,"{'height': 977, 'url': 'https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa', 'width': 1000}",https://i.scdn.co/image/530b9ac6b54bb93f17a0510490b23cb395dce938,"{'height': 640, 'url': 'https://i.scdn.co/image/530b9ac6b54bb93f17a0510490b23cb395dce938', 'width': 640}"
5,Deep Purple,Child In Time,1972,2,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6,0.331,0.34,9,-14.784,0,0.0369,0.313,0.607,0.234,0.365,126.672,audio_features,21cp8L9Pei4AgysZVihjSv,spotify:track:21cp8L9Pei4AgysZVihjSv,https://api.spotify.com/v1/tracks/21cp8L9Pei4AgysZVihjSv,619267,rock,"['album rock', 'blues-rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock']",https://i.scdn.co/image/29953d234b5cc812692a11f0f55979f7d243a146,"{'height': 640, 'url': 'https://i.scdn.co/image/29953d234b5cc812692a11f0f55979f7d243a146', 'width': 640}",https://i.scdn.co/image/15d56668ef4e7e2e912227caeb749fcd361cccf8,"{'height': 640, 'url': 'https://i.scdn.co/image/15d56668ef4e7e2e912227caeb749fcd361cccf8', 'width': 640}"
6,Pearl Jam,Black,1993,6,0,0,0,0,0,0,0,0,0,0,803,452,40,24,16,12,12,10,6,7,0.36,0.684,4,-6.4570000000000025,0,0.0308,0.32299999999999995,0.0,0.34,0.2,77.15,audio_features,5Xak5fmy089t0FYmh3VJiY,spotify:track:5Xak5fmy089t0FYmh3VJiY,https://api.spotify.com/v1/tracks/5Xak5fmy089t0FYmh3VJiY,342653,rock,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",https://i.scdn.co/image/8a7775f16a99af5d353d4eb31ec0ccf908a6a6d1,"{'height': 640, 'url': 'https://i.scdn.co/image/8a7775f16a99af5d353d4eb31ec0ccf908a6a6d1', 'width': 640}",https://i.scdn.co/image/425e1fef6d70a48a103dfd168a556b7f72f72865,"{'height': 640, 'url': 'https://i.scdn.co/image/425e1fef6d70a48a103dfd168a556b7f72f72865', 'width': 640}"
7,Toto,Africa,1982,8,34,49,33,39,52,63,70,75,110,66,100,97,87,62,28,51,42,30,25,8,0.6709999999999999,0.373,9,-18.064,1,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.717,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,295893,rock,"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",https://i.scdn.co/image/a47fe4b4087afd805a6e40730023b5d182423990,"{'height': 640, 'url': 'https://i.scdn.co/image/a47fe4b4087afd805a6e40730023b5d182423990', 'width': 640}",https://i.scdn.co/image/fba60f3ffb0d2ffc6ec078f670541d0c897ff85f,"{'height': 640, 'url': 'https://i.scdn.co/image/fba60f3ffb0d2ffc6ec078f670541d0c897ff85f', 'width': 640}"
8,Coldplay,Fix You,2005,8,0,0,0,0,0,0,0,0,0,0,1494,235,69,40,20,15,10,11,8,9,0.209,0.418,3,-8.74,1,0.0338,0.163,0.00195,0.113,0.123,138.265,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,295533,rock,"['permanent wave', 'pop']",https://i.scdn.co/image/d5fcdc130ec341b3e8814da749ba260191c938aa,"{'height': 640, 'url': 'https://i.scdn.co/image/d5fcdc130ec341b3e8814da749ba260191c938aa', 'width': 640}",https://i.scdn.co/image/ce2cb283df41c592e72df1900558d8af97445aa6,"{'height': 640, 'url': 'https://i.scdn.co/image/ce2cb283df41c592e72df1900558d8af97445aa6', 'width': 640}"
9,Boudewijn de Groot,Avond,1997,1,428,121,41,25,8,5,1,2,2,3,3,3,4,5,5,5,7,6,9,10,0.47,0.364,0,-15.278,1,0.0398,0.6559999999999999,0.000537,0.118,0.17600000000000002,98.184,audio_features,3n3F07lHLyRKwqg4q64eYA,spotify:track:3n3F07lHLyRKwqg4q64eYA,https://api.spotify.com/v1/tracks/3n3F07lHLyRKwqg4q64eYA,276600,rock,"['dutch indie', 'dutch pop', 'dutch rock', 'nederpop']",https://i.scdn.co/image/b68bc60ec64d04421138a8002ae6affa3842ed55,"{'height': 1000, 'url': 'https://i.scdn.co/image/b68bc60ec64d04421138a8002ae6affa3842ed55', 'width': 1000}",https://i.scdn.co/image/40361b6abb25d88ae112bc11fdb029bca16bae5c,"{'height': 634, 'url': 'https://i.scdn.co/image/40361b6abb25d88ae112bc11fdb029bca16bae5c', 'width': 640}"
